"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
"청량리_0011",서울특별시,동대문구,기타,,회기로10길,03,서울특별시 동대문구 회기로10길 60,서울특별시 동대문구 청량리동 206-19,37.58996951,127.0472897,동대문구 정보화도서관 앞,4,0,,,,2020,서울특별시 동대문구청,02-2127-4098,2024-06-04
"회기_0014",서울특별시,동대문구,기타,,회기로,03,서울특별시 동대문구 회기로 128-1,서울특별시 동대문구 회기동 105-8,37.59127836,127.0508016,아이러브케익 앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
"회기_0020",서울특별시,동대문구,기타,,경희대로1나길,03,서울특별시 동대문구 경희대로1나길 56-3,서울특별시 동대문구 회기동 109-5,37.59361293,127.0503576,경희의료원 주차장 앞,4,0,,,,2021,서울특별시 동대문구청,02-2127-4098,2024-06-04
"휘경2_0029",서울특별시,동대문구,기타,,망우로10길,03,서울특별시 동대문구 망우로10길 49,서울특별시 동대문구 휘경동 312-31,37.58682861,127.0564577,송미영헬스뷰티해독 앞,4,0,,,,2021,서울특별시 동대문구청,02-2127-4098,2024-06-04
"휘경2_0032",서울특별시,동대문구,기타,,장안벚꽃로5길,03,서울특별시 동대문구 장안벚꽃로5길 30,서울특별시 동대문구 휘경동 49-181,37.5814127,127.0733637,대청마루 앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
"휘경2_0037",서울특별시,동대문구,기타,,망우로6길,03,서울특별시 동대문구 망우로6길 39,서울특별시 동대문구 휘경동 312-143,37.58654552,127.0562086,커피베이 앞,4,0,,,,2021,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0001,서울특별시,동대문구,기타,,고산자로,03,서울특별시 동대문구 고산자로 468,서울특별시 동대문구 제기동 922,37.58139632,127.0387892,명성당한약국 앞,4,0,,,,2004,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0002,서울특별시,동대문구,기타,,고산자로,03,서울특별시 동대문구 고산자로 454,서울특별시 동대문구 제기동 1034,37.58003487,127.0386776,경동상회 앞,4,0,,,,2004,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0003,서울특별시,동대문구,기타,,이문로,03,서울특별시 동대문구 이문로161-1,서울특별시 동대문구 이문동 257-348,37.60105821,127.0618546,베테랑부동산 앞,4,0,,,,2005,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0004,서울특별시,동대문구,기타,,고미술로,03,서울특별시 동대문구 고미술로 57,서울특별시 동대문구 답십리동 994,37.56699212,127.0539285,한화아파트 앞,4,0,,,,2005,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0005,서울특별시,동대문구,기타,,이문로,03,서울특별시 동대문구 이문로133,서울특별시 동대문구 이문동 291-31,37.5985291,127.0612244,이문동우체국 앞,4,0,,,,2005,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0006,서울특별시,동대문구,기타,,휘경로,03,서울특별시 동대문구 휘경로 55,서울특별시 동대문구 휘경동 146-1,37.59442657,127.0659809,휘경sk뷰아파트 앞,4,0,,,,2005,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0007,서울특별시,동대문구,기타,,한천로4길,03,서울특별시 동대문구 한천로4길 8,서울특별시 동대문구 장안동 412-1,37.5636079,127.0591744,자동차부품상가 앞,4,0,,,,2005,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0008,서울특별시,동대문구,기타,,한천로,03,서울특별시 동대문구 한천로 17,서울특별시 동대문구 답십리동 952-6,37.56479449,127.0592292,자동차부품상가 앞,4,0,,,,2005,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0009,서울특별시,동대문구,기타,,한천로10길,03,서울특별시 동대문구 한천로10길 22,서울특별시 동대문구 장안동 218-9,37.565871,127.0623347,민테크 맞은편,4,0,,,,2005,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0010,서울특별시,동대문구,기타,,한천로,03,서울특별시 동대문구 한천로 36,서울특별시 동대문구 장안동 237-2,37.56509542,127.0610041,동일빌딩 앞,4,0,,,,2005,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0011,서울특별시,동대문구,기타,,황물로,03,서울특별시 동대문구 황물로168,서울특별시 동대문구 답십리동 530-17,37.56518608,127.0562375,아펠시티 정문 앞,4,0,,,,2006,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0012,서울특별시,동대문구,기타,,황물로,03,서울특별시 동대문구 황물로185-1,서울특별시 동대문구 답십리동 959-18,37.56446872,127.0580252,대화오토모티브 앞,4,0,,,,2006,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0013,서울특별시,동대문구,기타,,경희대로,03,서울특별시 동대문구 경희대로16,서울특별시 동대문구 회기동 16-42,37.59282156,127.0527779,경희대입구 스타벅스 앞,4,0,,,,2007,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0014,서울특별시,동대문구,기타,,답십리로72길,03,서울특별시 동대문구 답십리로72길 40,서울특별시 동대문구 장안동 337-8,37.57043864,127.0735706,현대홈타운 정문 앞,4,0,,,,2008,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0015,서울특별시,동대문구,기타,,이문로,03,서울특별시 동대문구 이문로42,서울특별시 동대문구 휘경동 183-110,37.591094,127.0568696,진미곱창막창 앞,4,0,,,,2008,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0016,서울특별시,동대문구,기타,,무학로,03,서울특별시 동대문구 무학로 80,서울특별시 동대문구 용두동 129-61,37.57127819,127.030706,청계센트럴포레 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0017,서울특별시,동대문구,기타,,겸재로,03,서울특별시 동대문구 겸재로 16,서울특별시 동대문구 휘경동 49-324,37.58415227,127.0699231,휘경공고 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0018,서울특별시,동대문구,기타,,장안벚꽃로,03,서울특별시 동대문구 장안벚꽃로 29,서울특별시 동대문구 장안동 440-8,37.56340031,127.071726,타이어휠아울렛 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0019,서울특별시,동대문구,기타,,장안벚꽃로7가길,03,서울특별시 동대문구 장안벚꽃로7가길 22,서울특별시 동대문구 휘경동 49-145,37.58232623,127.0727503,동일하이빌아파트 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0020,서울특별시,동대문구,기타,,휘경로,03,서울특별시 동대문구 휘경로7-1,서울특별시 동대문구 이문동 288-37,37.59623476,127.0611603,예체안경 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0021,서울특별시,동대문구,기타,,휘경로,03,서울특별시 동대문구 휘경로 43,서울특별시 동대문구 휘경동 150-47,37.59472989,127.0647708,외대역교차로 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0022,서울특별시,동대문구,기타,,천장산로,03,서울특별시 동대문구 천장산로 8,서울특별시 동대문구 이문동 268-2,37.59803844,127.0601228,경희대대학원 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0023,서울특별시,동대문구,기타,,천장산로,03,서울특별시 동대문구 천장산로 31,서울특별시 동대문구 이문동 264-210,37.59872541,127.0576811,청솔공인중개사 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0024,서울특별시,동대문구,기타,,장한로26길,03,서울특별시 동대문구 장한로26길 24,서울특별시 동대문구 장안동 342-24,37.57148363,127.0729509,이마트 편의점 장안빌리지 맞은편,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0025,서울특별시,동대문구,기타,,고산자로28길,03,서울특별시 동대문구 고산자로28길 21,서울특별시 동대문구 용두동 39-951,37.57521193,127.0395048,동대문 홈플러스 주차장 앞,4,0,,,,2009,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0026,서울특별시,동대문구,기타,,약령시로,03,서울특별시 동대문구 약령시로 104-1,서울특별시 동대문구 제기동 591-15,37.58289795,127.041618,짱구PC방 앞,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0027,서울특별시,동대문구,기타,,무학로,03,서울특별시 동대문구 무학로 125,서울특별시 동대문구 용두동 235-1,37.5754225,127.0303509,서울시 동부병원 맞은편,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0028,서울특별시,동대문구,기타,,답십리로69길,03,서울특별시 동대문구 답십리로69길 11,서울특별시 동대문구 장안2동 330-5,37.57271799,127.0736834,장평문구사 앞 사거리,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0029,서울특별시,동대문구,기타,,서울시립대로29길,03,서울특별시 동대문구 서울시립대로29길 3,서울특별시 동대문구 전농동 150-8,37.58386143,127.0541343,서울시립대 교차로 앞,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0030,서울특별시,동대문구,기타,,사가정로25길,03,서울특별시 동대문구 사가정로25길 66,서울특별시 동대문구 장안2동 93-27,37.58167249,127.0712464,휘경주공 정문 앞,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0031,서울특별시,동대문구,기타,,장한로24길,03,서울특별시 동대문구 장한로24길 27,서울특별시 동대문구 장안2동 342-6,37.57050722,127.0723808,씨유 뉴장안홈타운 앞,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0032,서울특별시,동대문구,기타,,망우로14길,03,서울특별시 동대문구 망우로14길 18,서울특별시 동대문구 휘경2동 293-164,37.589087,127.060246,부동산A팀 공인중개사사무소 앞,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0033,서울특별시,동대문구,기타,,난계로28길,03,서울특별시 동대문구 난계로28길 23,서울특별시 동대문구 신설동 109-20,37.57289627,127.0246449,서울특별시 다산콜센터 앞,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0034,서울특별시,동대문구,기타,,한천로,03,서울특별시 동대문구 한천로157-1,서울특별시 동대문구 답십리1동 1-28,37.57503802,127.0670946,모더니스트 맞은편,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0035,서울특별시,동대문구,기타,,장한로26길,03,서울특별시 동대문구 장한로26길67,서울특별시 동대문구 장안1동 334-6,37.57155663,127.07508,해물.888 앞,4,0,,,,2010,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0036,서울특별시,동대문구,기타,,회기로,03,서울특별시 동대문구 회기로 185-1,서울특별시 동대문구 휘경1동 320-4,37.59006658,127.056615,갈비장터 앞,4,0,,,,2012,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0037,서울특별시,동대문구,기타,,망우로12길,03,서울특별시 동대문구 망우로12길 17,서울특별시 동대문구 휘경2동 281-22,37.58842059,127.0589419,새롬교회 맞은편,4,0,,,,2014,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0038,서울특별시,동대문구,기타,,경희대로4길,03,서울특별시 동대문구 경희대로4길 73,서울특별시 동대문구 이문1동 339-4,37.59139093,127.0562872,청량초등학교 정문 앞,4,0,,,,2014,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0039,서울특별시,동대문구,기타,,회기로25길,03,서울특별시 동대문구 회기로25길 54,서울특별시 동대문구 이문1동 341-47,37.59211492,127.0567534,이레미술 맞은편,4,0,,,,2014,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0040,서울특별시,동대문구,기타,,이문로,03,서울특별시 동대문구 이문로 37,서울특별시 동대문구 회기동 346-18,37.59080113,127.0561174,베라체 캠퍼스 애비뉴 앞,4,0,,,,2013,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0041,서울특별시,동대문구,기타,,사가정로2길,03,서울특별시 동대문구 사가정로2길123,서울특별시 동대문구 답십리동 486-15,37.56777067,127.0556893,장안철물 앞,4,0,,,,2013,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0042,서울특별시,동대문구,기타,,한천로,03,서울특별시 동대문구 한천로 59,서울특별시 동대문구 답십리2동 2-201,37.56721556,127.0621956,위더스빌 사거리 앞,4,0,,,,2013,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0043,서울특별시,동대문구,기타,,전농로,03,서울특별시 동대문구 전농로 113,서울특별시 동대문구 답십리1동 97-15,37.57504205,127.057388,센터빌딩 앞,4,0,,,,2013,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0044,서울특별시,동대문구,기타,,왕산로,03,서울특별시 동대문구 왕산로 147,서울특별시 동대문구 제기동 1015,37.57878423,127.0396587,경동제일약초 맞은편,4,0,,,,2013,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0045,서울특별시,동대문구,기타,,정릉천동로,03,서울특별시 동대문구 정릉천동로 80,서울특별시 동대문구 제기동 892-68,37.57900336,127.0353934,세븐일레븐 경동ㅣㅁ주아파트 앞,4,0,,,,2013,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0046,서울특별시,동대문구,기타,,사가정로,03,서울특별시 동대문구 사가정로 138,서울특별시 동대문구 전농동 38-59,37.57765574,127.0601164,전농칼국수 앞,4,0,,,,2013,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0047,서울특별시,동대문구,기타,,한빛로,03,서울특별시 동대문구 한빛로 11,서울특별시 동대문구 신설동 67-1,37.577012,127.0246047,남서울대학 후문 맞은편,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0048,서울특별시,동대문구,기타,,약령시로,03,서울특별시 동대문구 약령시로 10,서울특별시 동대문구 제기동 148-17,37.582525,127.030876,미래빌딩 앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0049,서울특별시,동대문구,기타,,전농로,03,서울특별시 동대문구 전농로94,서울특별시 동대문구 답십리동 68-1,37.57318339,127.0577709,사거리한의원 앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0050,서울특별시,동대문구,기타,,답십리로,03,서울특별시 동대문구 답십리로 130,서울특별시 동대문구 답십리동 1003,37.57285496,127.0524012,래미안아파트 내 교차로,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0051,서울특별시,동대문구,기타,,답십리로56길,03,서울특별시 동대문구 답십리로56길 15,서울특별시 동대문구 답십리동 990-3,37.57208305,127.0594788,청소년 독서실 앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0052,서울특별시,동대문구,기타,,장안벚꽃로,03,서울특별시 동대문구 장안벚꽃로 167,서울특별시 동대문구 장안동 329-3,37.5750721,127.0742821,CU 장안래미안점 앞,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0053,서울특별시,동대문구,기타,,장안벚꽃로,03,서울특별시 동대문구 장안벚꽃로 205,서울특별시 동대문구 장안동 328,37.57855999,127.0757616,은석초교 정문,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0054,서울특별시,동대문구,기타,,한천로55길,03,서울특별시 동대문구 한천로55길 9,서울특별시 동대문구 이문동 73,37.59608131,127.0676093,이문삼익아파트,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0055,서울특별시,동대문구,기타,,망우로20길,03,서울특별시 동대문구 망우로20길 86,서울특별시 동대문구 휘경동 368,37.589998,127.0655317,브라운스톤 정문,4,0,,,,2017,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0056,서울특별시,동대문구,기타,,망우로21길,03,서울특별시 동대문구 망우로21길 52,서울특별시 동대문구 휘경동 192-5,37.590396,127.0598779,회기역 방향 (2번출구 신생빌딩 건너편),4,0,,,,2018,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0057,서울특별시,동대문구,기타,,답십리로56길,03,서울특별시 동대문구 답십리로56길 124,서울특별시 동대문구 답십리동 21-70,37.56781849,127.0578002,답십리파크자이 부동산 앞,4,0,,,,2019,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0058,서울특별시,동대문구,기타,,한빛로,03,서울특별시 동대문구 한빛로23,서울특별시 동대문구 신설동 39-1,37.57788778,127.0255098,우리식당 앞,4,0,,,,2019,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0059,서울특별시,동대문구,기타,,고산자로28길,03,서울특별시 동대문구 고산자로28길 39,서울특별시 동대문구 용두동 39-714,37.57497077,127.040439,GS25 동대문구청점 앞,4,0,,,,2019,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0060,서울특별시,동대문구,기타,,답십리로23길,03,서울특별시 동대문구 답십리로23길 30,서울특별시 동대문구 전농동 695,37.57672448,127.0496315,롯데캐슬 노블레스 104동 맞은편,4,0,,,,2019,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0061,서울특별시,동대문구,기타,,황물로15길,03,서울특별시 동대문구 황물로15길 28,서울특별시 동대문구 답십리동 956-38,37.5658405,127.0584184,두산위브아파트 후문,4,0,,,,2020,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0062,서울특별시,동대문구,기타,,약령시로,03,서울특별시 동대문구 약령시로51,서울특별시 동대문구 제기동 1193,37.58300853,127.0357641,평제약국 앞,4,0,,,,2020,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0063,서울특별시,동대문구,기타,,왕산로,03,서울특별시 동대문구 왕산로 206-1,서울특별시 동대문구 전농동 591-48,37.58045173,127.0460454,청량리환승센터,4,0,,,,2022,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0064,서울특별시,동대문구,기타,,청계천로7길,03,서울특별시 동대문구 황물로15길28,서울특별시 동대문구 용두동 255-47,37.5658405,127.0584184,청계센트럴포레,4,0,,,,2022,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0065,서울특별시,동대문구,기타,,장한로18길,03,서울특별시 동대문구 약령시로51,서울특별시 동대문구 장안동 355-1,37.58300853,127.0357641,장안현대홈타운 후문,4,0,,,,2022,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0066,서울특별시,동대문구,기타,,고산자로32길,03,서울특별시 동대문구 고산자로32길 67,서울특별시 동대문구 용두동 12-5,37.57752497,127.0419709,동대문청과시장 앞,4,0,,,,2023,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0067,서울특별시,동대문구,기타,,답십리로,03,서울특별시 동대문구 답십리로 9,서울특별시 동대문구 전농동 622-1,37.57833622,127.0434916,힐스테이트 청량리,4,0,,,,2023,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0068,서울특별시,동대문구,기타,,답십리로,03,서울특별시 동대문구 답십리로 27,서울특별시 동대문구 전농동 622-18,37.57792478,127.0440811,청량리역 롯데캐슬,4,0,,,,2023,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0069,서울특별시,동대문구,기타,,제기로,03,서울특별시 동대문구 제기로 65,서울특별시 동대문구 청량리동 520-79,37.58676832,127.0402873,국제자원 앞,4,0,,,,2023,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0070,서울특별시,동대문구,기타,,이문로9길,03,서울특별시 동대문구 이문로9길 52,서울특별시 동대문구 이문동 346-140,37.59483221,127.056383,경희중교등학교 정문,4,0,,,,2023,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0071,서울특별시,동대문구,기타,,답십리로69길,03,서울특별시 동대문구 답십리로69길 100,서울특별시 동대문구 장안동 329-5,37.57699787,127.0741539,장안힐스테이트 아파트,4,0,,,,2023,서울특별시 동대문구청,02-2127-4098,2024-06-04
P0072,서울특별시,동대문구,기타,,왕산로36길,03,서울특별시 동대문구 왕산로36길 6,서울특별시 동대문구 전농동 620-56,37.57923014,127.0434745,힐스테이트오피스텔 옆 사거리,4,0,,,,2023,서울특별시 동대문구청,02-2127-4098,2024-06-04
