연번,자치구,주소,X좌표,Y좌표
53,강남구,강남구 개포동 175-1 도,205061.3625,542686.5562
54,강남구,강남구 개포동 513-3 천,206118.5625,543360.6437
55,강남구,강남구 개포동 513-3 천,206090.4492,543335.1083
56,강남구,강남구 개포동 175 공,205162.9468,542854.8769
57,강남구,강남구 개포동 175 공,205147.4132,542787.6885
58,강남구,강남구 삼성동 186-3천,205833.575,546223.0187
59,강남구,강남구 역삼동 802-31 도,204334.5301,544487.1836
60,강남구,강남구 역삼동 1011-17 도,204335.6551,544509.5586
61,강남구,강남구 삼성동 172-53 도,204835.3799,545700.9289
62,강남구,강남구 개포동 504-4 천,205501.5644,543099.8335
63,강남구,강남구 역삼동 897-28 대,204480.4648,544569.6575
64,강남구,강남구 역삼동 897-27 대,204482.0677,544548.8242
65,강남구,강남구 역삼동 858-15 도,202933.2992,543386.3948
66,강남구,강남구 신사동 481 대,203132.5193,547722.2219
67,강남구,강남구 역삼동 804-16 도,203726.0534,544191.8181
68,강남구,강남구 역삼동 233-6 대,203062.4851,545174.3759
69,강남구,강남구 수서동 734 대,208661.1062,542908.3482
70,강남구,강남구 논현동 263-23 공,203375.0369,545479.8434
71,강남구,강남구 도곡동 산179임,203634.4585,542882.7046
72,강남구,강남구 대치동 924-4 대,204696.9301,544070.7983
73,강남구,강남구 대치동 888 대,204741.73,543964.6155
74,강남구,강남구 논현동 140-13 대,202077.6008,545288.1351
75,강남구,강남구 역삼동 277-8 대,203536.4352,545323.6926
76,강남구,강남구 개포동 175 공,205126.2031,542791.749
77,강남구,강남구 개포동 175 공,205111.6387,542799.8983
78,강남구,강남구 대치동 208-6 공,205398.4794,543804.4217
79,강남구,강남구 역삼동 277-6 대,203517.6625,545295.7937
80,강남구,강남구 역삼동 713 학,204188.2922,544427.4061
81,강남구,강남구 대치동 65대,206156.9663,544124.9615
82,강남구,강남구 삼성동 172-42 도,205812.3128,545852.5618
83,강남구,강남구 역삼동 113-2 대,204019.6114,545385.1552
84,강남구,강남구 개포동 185 대,206118.2763,543331.4221
85,강남구,강남구 개포동 197 도,206106.1493,543331.4901
86,강남구,강남구 개포동 511 대,205710.4694,543236.0601
87,강남구,강남구 압구정동 484천,203085.1375,548371.7687
88,강남구,강남구 개포동 156 공,205263.5607,542670.2549
89,강남구,강남구 일원동 702-4 도,207339.9826,543037.6576
90,강남구,강남구 개포동 10천,206408.25,543564.7812
91,강남구,강남구 개포동 141 대,205253.2761,541838.1499
92,강남구,강남구 대치동 973-24 대,205365.0875,544395.3937
93,강남구,강남구 역삼동 792-7 대,203120.6719,543483.375
94,강남구,강남구 세곡동 101-10 도,210457.4351,540769.647
95,강남구,강남구 개포동 660-12 대,205199.7625,541878.8062
96,강남구,강남구 논현동 250-20 대,203224.4687,545675.2318
97,강남구,강남구 압구정동 484천,203074.95,548369.9562
98,강남구,강남구 역삼동 712-2 대,203945.55,544313.8437
99,강남구,강남구 역삼동 712 공,203961.35,544371.8812
100,강남구,강남구 대치동 130-2 대,204674.3692,545120.2136
101,강남구,강남구 신사동 480 공,202952.8125,547575.3312
102,강남구,강남구 도곡동 923-12 대,204675.225,544069.9687
103,강남구,강남구 도곡동 923-10 대,204668.4556,544074.1465
104,강남구,강남구 역삼동 777-12 대,203637.2375,543686.1687
105,강남구,강남구 역삼동 804 도,202561.3501,544025.1612
106,강남구,강남구 청담동 113-6 대,204205.8,547215.5187
107,강남구,강남구 청담동 117-22 대,204224.125,547178.7437
108,강남구,강남구 청담동 117-22 대,204212.1625,547165.1437
109,강남구,강남구 청담동 117 대,204187.4378,547162.0458
110,강남구,강남구 청담동 116-10 대,204167.4967,547170.3223
111,강남구,강남구 청담동 114-10 대,204160.2606,547215.7309
112,강남구,강남구 청담동 82-7 대,203684.8125,547095.5062
113,강남구,강남구 역삼동 757 대,204295.6104,543944.7563
114,강남구,강남구 대치동 956-16 대,205184.9161,544822.9264
115,강남구,강남구 대치동 947-2 대,205497.9364,544967.7539
116,강남구,강남구 일원동 709-7 도,207258.0169,543234.2948
117,강남구,강남구 대치동 956-1 대,205159.5628,544847.254
118,강남구,강남구 대치동 956-12 대,205166.4967,544832.4457
119,강남구,강남구 대치동 1012-111 도,205165.2939,544869.3284
120,강남구,강남구 대치동 1012-111 도,205187.1526,544879.1573
121,강남구,강남구 대치동 956-4 대,205209.4288,544867.5228
122,강남구,강남구 대치동 956-9 대,205218.4961,544853.8795
123,강남구,강남구 역삼동 722-2 대,203717.6305,544205.5164
124,강남구,강남구 청담동 66 공,204417.2698,546612.64
125,강남구,강남구 삼성동 66-4 공,204464.5188,546584.0696
126,강남구,강남구 대치동 896-2 대,204517.825,544546.6187
127,강남구,강남구 청담동 77-27 도,203593.0625,546638.1312
128,강남구,강남구 논현동 627-13 대,202835.501,546811.9198
129,강남구,강남구 신사동 627-11 대,202812.5137,546843.5549
130,강남구,강남구 논현동 647-23 대,203169.5375,546944.6937
131,강남구,강남구 청담동 139-25 도,204655.3365,547246.2834
132,강남구,강남구 청담동 77-56 도,204325.8565,546894.7861
133,강남구,강남구 신사동 647-18 대,203145.8426,546976.0928
134,강남구,강남구 신사동 482 대,202985.6602,547580.2201
135,강남구,강남구 신사동 602 대,202506.8607,546912.2258
136,강남구,강남구 대치동 1011-17 도,204414.791,544818.5091
137,강남구,강남구 역삼동 805-9 도,204393.391,544818.6091
138,강남구,강남구 대치동 951-2 대,205404.7879,544947.4596
139,강남구,강남구 대치동 951-1 종,205404.1784,544929.8711
140,강남구,강남구 대치동 1012-19 도,205485.0107,544979.4826
141,강남구,강남구 청담동 77 도,203547.7396,546790.1669
142,강남구,강남구 논현동 77-27 도,203575.125,546632.5062
143,강남구,강남구 청담동 49-8 대,204306.866,546879.9799
144,강남구,강남구 역삼동 828-8 대,202813.7191,543802.1458
145,강남구,강남구 삼성동 73 종,205060.9625,545791.125
146,강남구,강남구 일원동 714 학,207052.3125,542596.6562
147,강남구,강남구 일원동 714 학,207052.3125,542596.6562
148,강남구,강남구 일원동 714 학,207055.75,542574.0937
149,강남구,강남구 일원동 714 학,207082.4946,542579.3462
150,강남구,강남구 논현동 564-18 대,202323.6991,546586.4336
151,강남구,강남구 신사동 564 차,202295.0315,546613.069
152,강남구,강남구 압구정동 423 학,201862.6034,547122.0683
153,강남구,강남구 역삼동 233-8 대,203040.4994,545165.1974
154,강남구,강남구 청담동 66-3 공,204637.1603,546652.6311
155,강남구,강남구 삼성동 79 대,205176.3192,546772.4751
156,강남구,강남구 논현동 595-7 대,202693.3686,546755.0645
157,강남구,강남구 역삼동 777-5 대,203593.21,543669.9192
158,강남구,강남구 역삼동 665-1 종,203215.1875,544768.2187
159,강남구,강남구 압구정동 456 대,202492.2195,547629.5641
160,강남구,강남구 압구정동 456 대,202514.8862,547629.6203
161,강남구,강남구 역삼동 778-10 대,203762.4972,543732.4707
162,강남구,강남구 역삼동 639-12 대,202937.7875,544450.4312
163,강남구,강남구 역삼동 639-5 대,202916.9145,544479.9954
164,강남구,강남구 일원동 12 대,206459.525,543543.0312
165,강남구,강남구 일원동 4-12 잡,207731.1473,543694.4113
166,강남구,강남구 대치동 896-46 대,204673.7125,544630.6812
167,강남구,강남구 대치동 896-45 대,204661.6597,544643.3933
168,강남구,강남구 신사동 423 학,201882.4356,547106.9696
169,강남구,강남구 역삼동 858-13 도,202763.8049,544374.3875
170,강남구,강남구 역삼동 800-61 도,202743.7649,544420.9675
171,강남구,강남구 역삼동 637 대,202748.6828,544367.9684
172,강남구,강남구 도곡동 543-4 대,203659.4967,543364.9204
173,강남구,강남구 역삼동 647-9 대,202821.8162,544219.8899
174,강남구,강남구 역삼동 828 대,202828.9495,544202.7011
175,강남구,강남구 역삼동 858-13 도,202813.2495,544196.6011
176,강남구,강남구 역삼동 834-27 대,203020.5976,543701.6061
177,강남구,강남구 역삼동 858-15 도,203004.7976,543694.9061
178,강남구,강남구 수서동 711 학,208966.8266,543107.8272
179,강남구,강남구 수서동 711 학,208969.7495,543081.7037
180,강남구,강남구 일원동 460천,207620.0621,544031.8219
181,강남구,강남구 역삼동 632-16 대,202756.1609,544417.6886
182,강남구,강남구 역삼동 637-6 대,202769.383,544385.5735
183,강남구,강남구 대치동 645 대,204916.5375,543486.3687
184,강남구,강남구 도곡동 산179임,203667.8934,542932.3592
185,강남구,강남구 도곡동 산 31-1 임,203685.521,542892.6779
186,강남구,강남구 도곡동 670 대,204876.2524,543467.5459
187,강남구,강남구 삼성동 26-5 대,203865.1067,546445.3268
188,강남구,강남구 논현동 145-13 대,202084.5156,545228.6563
189,강남구,강남구 논현동 145-13 대,202084.5156,545228.6563
190,강남구,강남구 수서동 산10-1임,207880.4,542747.4812
191,강남구,강남구 수서동 산10-1임,207893.3375,542726.2312
192,강남구,강남구 도곡동 106-1 학,204686.7547,543396.0913
193,강남구,강남구 일원동 714 학,207078.8,542575.5312
194,강남구,강남구 삼성동 99-1 대,205679.6378,546176.4487
195,강남구,강남구 도곡동 670 대,204871.172,543501.1082
196,강남구,강남구 도곡동 174-4답,204118.9125,542820.0312
197,강남구,강남구 개포동 513-3 천,206086.8151,543351.1982
198,강남구,강남구 역삼동 800-31 도,202316.2904,544623.592
199,강남구,강남구 역삼동 800-31 도,202316.2904,544623.592
200,강남구,강남구 도곡동 91 학,204677.5084,543189.1713
201,강남구,강남구 도곡동 91 학,204690.7268,543196.6381
202,강남구,강남구 수서동 733-4 도,208654.7903,542940.1148
203,강남구,강남구 수서동 733-4 도,208646.8904,542929.0579
204,강남구,강남구 도곡동 807-15 도,203637.2199,543641.5553
205,강남구,강남구 역삼동 670-3 대,203235.6625,544605.6062
206,강남구,강남구 삼성동 186-3천,205844.2402,546216.5656
207,강남구,강남구 도곡동 산24-1 임,204413.7967,543241.2526
208,강남구,강남구 수서동 50 대,207635.1532,542936.9297
209,강남구,강남구 삼성동 15-1 대,203993.3018,546481.8059
210,강남구,강남구 청담동 15-21 대,203995.5156,546507.625
211,강남구,강남구 삼성동 133 공,204353.716,545016.2319
212,강남구,강남구 역삼동 800-31 도,202334.576,544619.9626
213,강남구,강남구 개포동 511 대,205863.8625,543278.3812
214,강남구,강남구 일원동 4-44잡,207788.4994,543550.5631
215,강남구,강남구 역삼동 657-24 대,203162.05,544909.2062
216,강남구,강남구 개포동 195 도,205874.2288,543313.7431
217,강남구,강남구 대치동 4-20천,206431.0969,544194.3659
218,강남구,강남구 논현동 2-7 대,201810.3655,545964.3444
219,강남구,강남구 논현동 2-7 대,201810.3655,545964.3444
220,강남구,강남구 역삼동 135-4 대,204293.9063,544992.596
221,강남구,강남구 역삼동 135-4 대,204292.925,545015.8312
222,강남구,강남구 삼성동 172-106 도,204330.1572,545041.8974
223,강남구,강남구 논현동 78-4 대,202725.45,546078.2812
224,강남구,강남구 역삼동 273-5 대,203399.3121,545447.5839
225,강남구,강남구 논현동 264-7 학,203404.025,545496.4562
226,강남구,강남구 역삼동 824-17 대,202562.4224,543977.0438
227,강남구,강남구 역삼동 824-17 대,202562.4224,543977.0438
228,강남구,강남구 역삼동 792-74 대,203263.3043,543539.0198
229,강남구,강남구 도곡동 792-77 도,203274.9741,543517.5773
230,강남구,강남구 역삼동 840-14 대,203099.273,543493.7833
231,강남구,강남구 역삼동 695-31 대,204044.6848,544914.1482
232,강남구,강남구 역삼동 696-44 도,204049.6621,544879.1142
233,강남구,강남구 역삼동 698-27 대,203788.7726,544824.6136
234,강남구,강남구 역삼동 711-2 대,203835.2852,544279.4637
235,강남구,강남구 역삼동 711-1 대,203849.3227,544268.5512
236,강남구,강남구 수서동 708 대,208871.1946,543076.7859
237,강남구,강남구 수서동 708 대,208852.9249,543071.6009
238,강남구,강남구 도곡동 174-41 철,203995.4745,542741.7814
239,강남구,강남구 도곡동 180-3전,203974.0282,542750.793
240,강남구,강남구 도곡동 950-2 대,203049.5,542785.6312
241,강남구,강남구 신사동 638-13 대,202964.8375,547388.5062
242,강남구,강남구 신사동 638-13 대,202932.2944,547388.1825
243,강남구,강남구 신사동 634-8 대,202952.5221,547082.3384
244,강남구,강남구 신사동 634-5 대,202922.3346,547067.7134
245,강남구,강남구 도곡동 792-7 대,203127.4333,543460.7895
246,강남구,강남구 도곡동 858-19 도,203097.4553,543444.4292
247,강남구,강남구 청담동 495 도,203549.68,547377.3562
248,강남구,강남구 세곡동 108-9 잡,210468.3183,540829.0544
249,강남구,강남구 도곡동 869-12도,203684.7036,543336.3091
250,강남구,강남구 도곡동 산24-1 임,204421.2965,543243.4267
251,강남구,강남구 도곡동 산24-1 임,204427.95,543210.8562
252,강남구,강남구 세곡동 110-5도,209594.7345,540564.7634
253,강남구,강남구 대치동 5-3도,206171.0375,544085.5687
254,강남구,강남구 대치동 316 대,205589.8638,543859.2867
255,강남구,강남구 대치동 316 대,205572.5513,543867.7568
256,강남구,강남구 대치동 316 대,205569.325,543902.6812
257,강남구,강남구 대치동 316 대,205572.1954,543907.8845
258,강남구,강남구 대치동 316 대,205609.7579,543920.6345
259,강남구,강남구 대치동 316 대,205621.5781,543891.4375
260,강남구,강남구 대치동 316 대,205616.1125,543869.8937
261,강남구,강남구 세곡동 산15임,209719.892,540634.509
262,강남구,강남구 세곡동 산11묘,209735.9655,540588.257
263,강남구,강남구 논현동 65-6 대,202620.1,546357.9062
264,강남구,강남구 논현동 65-4 대,202598.1,546348.4062
265,강남구,강남구 대치동 980-8 대,205524.8532,544422.784
266,강남구,강남구 대치동 208-6 공,205405.5625,543772.3438
267,강남구,강남구 대치동 612 대,205269.1125,543692.5312
268,강남구,강남구 역삼동 685-4 대,203669.3875,545055.5062
269,강남구,강남구 세곡동 산20임,209564.9687,540630.6884
270,강남구,강남구 세곡동 산18임,209611.7194,540618.443
271,강남구,강남구 논현동 279-45 도,203156.0375,546242.4062
272,강남구,강남구 역삼동 907-7 대,204559.8622,544362.3262
273,강남구,강남구 대치동 906-23 대,204587.4958,544360.0329
274,강남구,강남구 역삼동 907-18 대,204568.5616,544352.2268
275,강남구,강남구 신사동 435 도,202314.9181,547382.5303
276,강남구,강남구 신사동 657-33 대,203319.0366,547044.5916
277,강남구,강남구 논현동 655-3 대,203325.9125,547007.0562
278,강남구,강남구 논현동 24-4 대,202011.5616,545772.8404
279,강남구,강남구 논현동 26 공,202216.9025,545875.5428
280,강남구,강남구 논현동 28-3 대,202217.5249,545852.5892
281,강남구,강남구 청담동 147 잡,204022.6949,547467.2901
282,강남구,강남구 청담동 343천,204792.5959,547297.9559
283,강남구,강남구 청담동 77-52 도,204118.2734,546536.9194
284,강남구,강남구 청담동 77-26 도,203506.7904,546930.7986
285,강남구,강남구 논현동 279-23 도,203032.7205,546731.0603
286,강남구,강남구 대치동 925-1 대,204835.2,544182.8187
287,강남구,강남구 대치동 925-29 대,204819.1834,544173.6562
288,강남구,강남구 대치동 925-30 대,204849.2345,544177.9849
289,강남구,강남구 청담동 668-5 도,203516.3032,547259.7896
290,강남구,강남구 논현동 279-23 도,203066.7362,546733.94
291,강남구,강남구 역삼동 920-13 대,204620.0622,544215.7262
292,강남구,강남구 신사동 649-9 공,203007.3875,546920.3125
293,강남구,강남구 청담동 60 대,204392.5668,546738.5336
294,강남구,강남구 율현동 707-1제,210632.065,541141.9504
295,강남구,강남구 율현동 707-1제,210647.5461,541123.9235
296,강남구,강남구 도곡동 467-29 대,204589.9364,543144.9731
297,강남구,강남구 도곡동 467-29 대,204589.9364,543144.9731
298,강남구,강남구 논현동 71-2 대,202934.2875,546154.4937
299,강남구,강남구 논현동 71-2 대,202936.9136,546126.7345
300,강남구,강남구 논현동 104-29 대,203392.0065,546331.5599
301,강남구,강남구 논현동 109-19 대,203392.4696,546303.0386
302,강남구,강남구 신사동 668-18 도,202496.235,546716.0938
303,강남구,강남구 신사동 668-18 도,202496.235,546716.0938
304,강남구,강남구 대치동 1011 도,205128.6083,545014.151
305,강남구,강남구 도곡동 466-3 도,204750.8293,543055.9181
306,강남구,강남구 신사동 609 대,202518.6,547131.2687
307,강남구,강남구 신사동 610-3 대,202491.6625,547132.2062
308,강남구,강남구 논현동 649-9 공,203015.0375,546875.2312
309,강남구,강남구 논현동 649-9 공,202984.875,546872.1812
310,강남구,강남구 논현동 649-9 공,202978.2258,546869.583
311,강남구,강남구 신사동 649-9 공,202971.537,546914.4384
312,강남구,강남구 논현동 280 도,202362.6578,545907.9284
313,강남구,강남구 논현동 29-1 대,202362.833,545931.38
314,강남구,강남구 신사동 433 대,202151.5418,547278.5757
315,강남구,강남구 대치동 510 학,205688.4695,543626.7341
316,강남구,강남구 역삼동 691-24 대,203753.6565,544822.7901
317,강남구,강남구 역삼동 691-26 대,203755.3026,544807.4366
318,강남구,강남구 대치동 995 도,205748.95,544677.4687
319,강남구,강남구 대치동 995 도,205747.5481,544655.6304
320,강남구,강남구 대치동 995 도,205738.05,544659.6687
321,강남구,강남구 삼성동 172-35 도,204947.8519,545454.5858
322,강남구,강남구 삼성동 172-75 도,204949.6626,545439.2399
323,강남구,강남구 삼성동 172-75 도,204921.3299,545420.2696
324,강남구,강남구 삼성동 172-35 도,204917.0341,545440.3739
325,강남구,강남구 삼성동 148-14 대,204938.6426,545459.2502
326,강남구,강남구 대치동 633 대,205133.0625,543651.7479
327,강남구,강남구 대치동 1027 대,205147.7656,543623.5313
328,강남구,강남구 청담동 340-2도,204892.144,547083.568
329,강남구,강남구 역삼동 858-13 도,202882.5909,544014.7759
330,강남구,강남구 압구정동 497 공,203474.078,547648.1684
331,강남구,강남구 청담동 106-22 대,204448.0108,547251.8613
332,강남구,강남구 청담동 110-3 대,204443.9125,547213
333,강남구,강남구 삼성동 89-6 대,205285.1692,546099.4767
334,강남구,강남구 삼성동 73 종,204964.6972,545991.604
335,강남구,강남구 역삼동 718-12 대,203395.4517,544286.4563
336,강남구,강남구 압구정동 374-1천,202208.7902,547946.5472
337,강남구,강남구 압구정동 435 도,202170.9281,547926.2783
338,강남구,강남구 역삼동 827-28 대,202683.5734,543752.1463
339,강남구,강남구 역삼동 858-14 도,202678.1688,543732.225
340,강남구,강남구 역삼동 827-19 대,202680.6461,543712.7986
341,강남구,강남구 역삼동 827-15 대,202661.5816,543756.6999
342,강남구,강남구 대치동 983-2 대,205711.4961,544527.1754
343,강남구,강남구 대치동 983-5 대,205712.85,544502.6312
344,강남구,강남구 포이동 1279천,203961.8875,542087.6562
345,강남구,강남구 일원동 666-11 공,207341.4563,543057.2875
346,강남구,강남구 일원동 702-4 도,207340.2627,543025.9825
347,강남구,강남구 대치동 633-7 대,204904.1625,543528.5437
348,강남구,강남구 도곡동 670 대,204881.8295,543518.5952
349,강남구,강남구 개포동 155 학,205513.1375,542583.2562
350,강남구,강남구 청담동 116 대,204152.25,547206.5437
351,강남구,강남구 도곡동 543-3 주,203660.4953,543337.6672
352,강남구,강남구 삼성동 167 대,205553.5471,545509.6807
353,강남구,강남구 삼성동 167 대,205556.5915,545497.8384
354,강남구,강남구 포이동 1279천,204067.2986,542131.1501
355,강남구,강남구 포이동 1279-2도,204078.1736,542117.4626
356,강남구,강남구 역삼동 725-48 대,203488.6625,544064.4562
357,강남구,강남구 역삼동 725-48 대,203479.5125,544063.6687
358,강남구,강남구 역삼동 725-58 대,203448.0375,544044.5062
359,강남구,강남구 역삼동 725-57 대,203455.1142,544028.68
360,강남구,강남구 역삼동 725-56 대,203465.1,544029.7437
361,강남구,강남구 대치동 142-36 대,204411.7123,544829.907
362,강남구,강남구 대치동 889-45 대,204411.0301,544845.8303
363,강남구,강남구 역삼동 805-10 도,204387.3012,544821.5943
364,강남구,강남구 개포동 652 대,204776.8778,542434.1345
365,강남구,강남구 일원동 621 공,207228.2763,543307.6504
366,강남구,강남구 일원동 621 공,207209.3032,543309.7379
367,강남구,강남구 신사동 480 공,203005.9186,547718.4069
368,강남구,강남구 압구정동 480 공,203019.7481,547762.7412
369,강남구,강남구 압구정동 476 도,202972.0919,547775.6239
370,강남구,강남구 논현동 279-132 도,203148.9405,545964.3452
371,강남구,강남구 대치동 1013-2 학,204814.4596,543767.4377
372,강남구,강남구 도곡동 888 대,204788.7596,543766.7377
373,강남구,강남구 삼성동 186-5천,205872.874,545634.8323
374,강남구,강남구 대치동 996-16 대,205736.0804,545116.3861
375,강남구,강남구 대치동 996-15 대,205762.8154,545136.35
376,강남구,강남구 대치동 1000-7 대,205775.4375,545033.7625
377,강남구,강남구 대치동 1000-12 대,205759.6406,545039.7187
378,강남구,강남구 대치동 1000-12 대,205727,545063.9687
379,강남구,강남구 대치동 931-21 대,205188.3676,544290.2457
380,강남구,강남구 세곡동 113도,209542.6125,540578.6937
381,강남구,강남구 대치동 65대,206197.5494,544140.8606
382,강남구,강남구 대치동 5-3도,206212.1,544103.4437
383,강남구,강남구 개포동 688 대,206671.1154,542936.1723
384,강남구,강남구 개포동 688 대,206671.1154,542936.1723
385,강남구,강남구 논현동 279-5 도,203490.9904,546917.1986
386,강남구,강남구 삼성동 159-9 대,205218.2535,545367.4508
387,강남구,강남구 일원동 702-4 도,207317.025,543017.8062
388,강남구,강남구 도곡동 944-4 대,202937.4875,543043.8437
389,강남구,강남구 도곡동 942-9 대,202915.8647,543048.2687
390,강남구,강남구 도곡동 942-9 대,202915.8647,543048.2687
391,강남구,강남구 청담동 31-2 대,204233.2472,546563.5194
392,강남구,강남구 청담동 66-4 공,204442.725,546622.4937
393,강남구,강남구 청담동 66-4 공,204464.2919,546614.7018
394,강남구,강남구 삼성동 66 공,204464.5694,546570.6057
395,강남구,강남구 삼성동 66 공,204439.7093,546569.8183
396,강남구,강남구 삼성동 66 공,204424.6625,546576.2437
397,강남구,강남구 청담동 77-41 도,204418.9136,546619.7616
398,강남구,강남구 삼성동 66-3 공,204634.2004,546624.5729
399,강남구,강남구 삼성동 111-44 도,204547.0796,546314.3691
400,강남구,강남구 청담동 505 공,203881.138,547513.9208
401,강남구,강남구 청담동 146 도,203882.4596,547487.6885
402,강남구,강남구 논현동 115-14 대,203117.1094,545952.8676
403,강남구,강남구 도곡동 760-7 대,204123.7692,543831.7371
404,강남구,강남구 역삼동 759-1 대,204139.0242,543892.6646
405,강남구,강남구 일원동 12 대,206762.3147,543700.7651
406,강남구,강남구 압구정동 433 대,201989.2791,547203.6449
407,강남구,강남구 압구정동 433 대,201989.2791,547203.6449
408,강남구,강남구 신사동 433 대,201962.8885,547157.6999
409,강남구,강남구 압구정동 433 대,201955.8163,547181.0114
410,강남구,강남구 압구정동 420 도,201963.7646,547193.881
411,강남구,강남구 삼성동 30-33 대,204122.8964,546510.6122
412,강남구,강남구 삼성동 30-33 대,204115.8513,546501.4469
413,강남구,강남구 삼성동 28-20 대,204097.7513,546503.9478
414,강남구,강남구 청담동 114-11 대,204186.7585,547223.1815
415,강남구,강남구 개포동 12 대,206725.781,543700.4314
416,강남구,강남구 개포동 12 대,206742.901,543701.986
417,강남구,강남구 청담동 77-51 도,203888.0828,546484.4828
418,강남구,강남구 삼성동 27 학,203891.8068,546459.2142
419,강남구,강남구 신사동 649-9 공,203000.2125,546919.7687
420,강남구,강남구 압구정동 453 도,202462.9126,547858.2831
421,강남구,강남구 신사동 668-4 도,203255.4237,547681.448
422,강남구,강남구 청담동 343천,204792.3375,547267.6562
423,강남구,강남구 청담동 340-2도,204860.5,547087.875
424,강남구,강남구 청담동 340-1천,204920.1629,547085.3227
425,강남구,강남구 청담동 340-2도,204888.7939,547088.7815
426,강남구,강남구 청담동 134 대,204908.6726,546971.5763
427,강남구,강남구 대치동 78-24유,205945.4331,544671.005
428,강남구,강남구 대치동 78-24유,205929.7442,544618.8171
429,강남구,강남구 역삼동 172-98 도,204385.3381,544838.115
430,강남구,강남구 청담동 147 잡,204022.197,547442.2938
431,강남구,강남구 신사동 494 대,203526.4923,547375.0932
432,강남구,강남구 삼성동 90-20 대,205275.7875,546058.5812
433,강남구,강남구 개포동 511 대,205696.9694,543247.6226
434,강남구,강남구 도곡동 543-3 주,203658.1901,543352.3545
435,강남구,강남구 역삼동 699-24 대,203810.5507,544781.8447
436,강남구,강남구 역삼동 699-16 대,203763.7168,544765.0149
437,강남구,강남구 삼성동 172-91 도,205009.7013,545301.42
438,강남구,강남구 대치동 154-16 대,204997.35,545239.4062
439,강남구,강남구 삼성동 155-3 대,204959.1243,545267.658
440,강남구,강남구 대치동 154-5 대,204989.6985,545259.4132
441,강남구,강남구 대치동 154-11 대,205053.3531,545266.312
442,강남구,강남구 삼성동 154-18 대,205023.7182,545275.5954
443,강남구,강남구 삼성동 154-1 대,204980.475,545289.9437
